rank;infinitiv;Ind_Präsens_1S;Ind_Präsens_2S;Indicatif_Présent_il_(elle,_on);Ind_Präsens_1P;Ind_Präsens_2P;Indicatif_Présent_ils_(elles);Imperatif_Imperatif_Présent_;Partizip_Präsens;Participe_Participe_Passé_masculin_singulier;Participe_Participe_Passé_feminin_singulier;Participe_Participe_Passé_masculin_pluriel;Participe_Participe_Passé_feminin_pluriel;Ind_Futur_1S;Ind_Futur_2S;Indicatif_Futur_il_(elle,_on);Ind_Futur_1P;Ind_Futur_2P;Indicatif_Futur_ils_(elles);Ind_Imperfekt_1S;Ind_Imperfekt_2S;Indicatif_Imparfait_il_(elle,_on);Ind_Imperfekt_1P;Ind_Imperfekt_2P;Indicatif_Imparfait_ils_(elles);Cond_Präsens_1S;Cond_Präsens_2S;Conditionnel_Présent_il_(elle,_on);Cond_Präsens_1P;Cond_Präsens_2P;Conditionnel_Présent_ils_(elles);Subjonctif_Présent_je;Subjonctif_Présent_tu;Subjonctif_Présent_il_(elle,_on);Subjonctif_Présent_nous;Subjonctif_Présent_vous;Subjonctif_Présent_ils_(elles);Indicatif_Passé_Simple_je;Indicatif_Passé_Simple_tu;Indicatif_Passé_Simple_il_(elle,_on);Indicatif_Passé_Simple_nous;Indicatif_Passé_Simple_vous;Indicatif_Passé_Simple_ils_(elles);Subjonctif_Imparfait_je;Subjonctif_Imparfait_tu;Subjonctif_Imparfait_il_(elle,_on);Subjonctif_Imparfait_nous;Subjonctif_Imparfait_vous;Subjonctif_Imparfait_ils_(elles)
1;être;suis;es;est;sommes;êtes;sont;soyez;étant;été;;;;serai;seras;sera;serons;serez;seront;étais;étais;était;étions;étiez;étaient;serais;serais;serait;serions;seriez;seraient;sois;sois;soit;soyons;soyez;soient;fus;fus;fut;fûmes;fûtes;furent;fusse;fusses;fût;fussions;fussiez;fussent
2;avoir;ai;as;a;avons;avez;ont;ayez;ayant;eu;eue;eus;eues;aurai;auras;aura;aurons;aurez;auront;avais;avais;avait;avions;aviez;avaient;aurais;aurais;aurait;aurions;auriez;auraient;aie;aies;ait;ayons;ayez;aient;eus;eus;eut;eûmes;eûtes;eurent;eusse;eusses;eût;eussions;eussiez;eussent
3;pouvoir;peux;peux;peut;pouvons;pouvez;peuvent;;pouvant;pu;pue;pus;pues;pourrai;pourras;pourra;pourrons;pourrez;pourront;pouvais;pouvais;pouvait;pouvions;pouviez;pouvaient;pourrais;pourrais;pourrait;pourrions;pourriez;pourraient;puisse;puisses;puisse;puissions;puissiez;puissent;pus;pus;put;pûmes;pûtes;purent;pusse;pusses;pût;pussions;pussiez;pussent
7;premier;premie;premies;premie;premions;premiez;premient;premiez;premiant;premié;premiée;premiés;premiées;premierai;premieras;premiera;premierons;premierez;premieront;premiais;premiais;premiait;premiions;premiiez;premiaient;premierais;premierais;premierait;premierions;premieriez;premieraient;premie;premies;premie;premiions;premiiez;premient;premiai;premias;premia;premiâmes;premiâtes;premièrent;premiasse;premiasses;premiât;premiassions;premiassiez;premiassent
9;faire;fais;fais;fait;faisons;faites;font;faites;faisant;fait;faite;faits;faites;ferai;feras;fera;ferons;ferez;feront;faisais;faisais;faisait;faisions;faisiez;faisaient;ferais;ferais;ferait;ferions;feriez;feraient;fasse;fasses;fasse;fassions;fassiez;fassent;fis;fis;fit;fîmes;fîtes;firent;fisse;fisses;fît;fissions;fissiez;fissent
13;devoir;dois;dois;doit;devons;devez;doivent;devez;devant;dû;due;dus;dues;devrai;devras;devra;devrons;devrez;devront;devais;devais;devait;devions;deviez;devaient;devrais;devrais;devrait;devrions;devriez;devraient;doive;doives;doive;devions;deviez;doivent;dus;dus;dut;dûmes;dûtes;durent;dusse;dusses;dût;dussions;dussiez;dussent
14;dernier;dernie;dernies;dernie;dernions;derniez;dernient;derniez;derniant;dernié;derniée;derniés;derniées;dernierai;dernieras;derniera;dernierons;dernierez;dernieront;derniais;derniais;derniait;derniions;derniiez;derniaient;dernierais;dernierais;dernierait;dernierions;dernieriez;dernieraient;dernie;dernies;dernie;derniions;derniiez;dernient;derniai;dernias;dernia;derniâmes;derniâtes;dernièrent;derniasse;derniasses;derniât;derniassions;derniassiez;derniassent
18;aller;vais;vas;va;allons;allez;vont;allez;allant;allé;allée;allés;allées;irai;iras;ira;irons;irez;iront;allais;allais;allait;allions;alliez;allaient;irais;irais;irait;irions;iriez;iraient;aille;ailles;aille;allions;alliez;aillent;allai;allas;alla;allâmes;allâtes;allèrent;allasse;allasses;allât;allassions;allassiez;allassent
20;notre;nis;nis;nit;nivons;nivez;nivent;nivez;nivant;nécu;nécue;nécus;nécues;nivrai;nivras;nivra;nivrons;nivrez;nivront;nivais;nivais;nivait;nivions;niviez;nivaient;nivrais;nivrais;nivrait;nivrions;nivriez;nivraient;nive;nives;nive;nivions;niviez;nivent;nécus;nécus;nécut;nécûmes;nécûtes;nécurent;nécusse;nécusses;nécût;nécussions;nécussiez;nécussent
21;entrer;entre;entres;entre;entrons;entrez;entrent;entrez;entrant;entré;entrée;entrés;entrées;entrerai;entreras;entrera;entrerons;entrerez;entreront;entrais;entrais;entrait;entrions;entriez;entraient;entrerais;entrerais;entrerait;entrerions;entreriez;entreraient;entre;entres;entre;entrions;entriez;entrent;entrai;entras;entra;entrâmes;entrâtes;entrèrent;entrasse;entrasses;entrât;entrassions;entrassiez;entrassent
